x,y,C10,C01,C20,invD,ux,uy,group_id
0.030268518,0.9779663,0.6,1.1,0.8,1.6,0.009231912,0.9830591,0
0.030300813,0.17348832,0.6,1.1,0.8,1.6,0.056437984,0.21204755,0
0.030307367,0.25960797,0.6,1.1,0.8,1.6,0.07386119,0.32436934,0
0.030367512,0.009737092,0.6,1.1,0.8,1.6,0.0046242173,0.011467196,0
0.030376198,0.76888347,0.6,1.1,0.8,1.6,0.044051953,0.82283044,0
0.030469308,0.98886347,0.6,1.1,0.8,1.6,0.004945696,0.9915202,0
0.030596357,0.36962107,0.6,1.1,0.8,1.6,0.070097774,0.46078128,0
0.030812405,0.64873356,0.6,1.1,0.8,1.6,0.04939234,0.72817,0
0.030886922,0.019371577,0.6,1.1,0.8,1.6,0.008411494,0.022974605,0
0.030953957,0.5168099,0.6,1.1,0.8,1.6,0.051769525,0.6132314,0
0.03101378,0.05530085,0.6,1.1,0.8,1.6,0.019564545,0.06637948,0
0.03101578,0.119746976,0.6,1.1,0.8,1.6,0.03938177,0.1446889,0
0.03119248,0.90202135,0.6,1.1,0.8,1.6,0.028556757,0.924281,0
0.031576753,0.27775335,0.6,1.1,0.8,1.6,0.07509109,0.34802216,0
0.031930506,0.6887072,0.6,1.1,0.8,1.6,0.04819816,0.7604083,0
0.033150323,0.49538592,0.6,1.1,0.8,1.6,0.05287826,0.59305555,0
0.033172626,0.14945118,0.6,1.1,0.8,1.6,0.048758645,0.18121724,0
0.033527195,0.9566453,0.6,1.1,0.8,1.6,0.015975775,0.9665859,0
0.033898547,0.47224933,0.6,1.1,0.8,1.6,0.054925114,0.57054645,0
0.033920657,0.46279815,0.6,1.1,0.8,1.6,0.055995222,0.5610803,0
0.034011234,0.66221625,0.6,1.1,0.8,1.6,0.048784412,0.7392985,0
0.03418694,0.29931524,0.6,1.1,0.8,1.6,0.075299725,0.37599543,0
0.034213506,0.04711856,0.6,1.1,0.8,1.6,0.0168471,0.056165293,0
0.03449677,0.71157616,0.6,1.1,0.8,1.6,0.047032274,0.778577,0
0.03495412,0.7210437,0.6,1.1,0.8,1.6,0.046534527,0.7860146,0
0.034968607,0.13750352,0.6,1.1,0.8,1.6,0.044702772,0.16597466,0
0.03500368,0.75068754,0.6,1.1,0.8,1.6,0.044848476,0.80905277,0
0.035052147,0.9437841,0.6,1.1,0.8,1.6,0.019345641,0.9566918,0
0.03514722,0.15829499,0.6,1.1,0.8,1.6,0.05130651,0.19201879,0
0.035198417,0.8000287,0.6,1.1,0.8,1.6,0.04107585,0.84690946,0
0.035291336,0.78657013,0.6,1.1,0.8,1.6,0.042215507,0.83662623,0
0.03542113,0.41449296,0.6,1.1,0.8,1.6,0.06273823,0.5113147,0
0.03572355,0.8338682,0.6,1.1,0.8,1.6,0.03766563,0.8727022,0
0.035832074,0.8259098,0.6,1.1,0.8,1.6,0.038510896,0.8666575,0
0.035889857,0.6691237,0.6,1.1,0.8,1.6,0.048423897,0.74495834,0
0.035926737,0.45139116,0.6,1.1,0.8,1.6,0.057208985,0.5498186,0
0.036063496,0.58378327,0.6,1.1,0.8,1.6,0.049650762,0.67399514,0
0.036498565,0.40793243,0.6,1.1,0.8,1.6,0.06365772,0.50441206,0
0.036611665,0.84231937,0.6,1.1,0.8,1.6,0.036624175,0.87917846,0
0.036894284,0.6531318,0.6,1.1,0.8,1.6,0.048712403,0.73207426,0
0.03691555,0.53573346,0.6,1.1,0.8,1.6,0.050383683,0.6313213,0
0.036916997,0.7280959,0.6,1.1,0.8,1.6,0.04598279,0.7916133,0
0.03697099,0.59217423,0.6,1.1,0.8,1.6,0.0494853,0.68127924,0
0.037353456,0.3109813,0.6,1.1,0.8,1.6,0.074746355,0.39116004,0
0.037415806,0.96490705,0.6,1.1,0.8,1.6,0.013196689,0.9731793,0
0.03773489,0.91220486,0.6,1.1,0.8,1.6,0.026081705,0.9325157,0
0.03786728,0.9214531,0.6,1.1,0.8,1.6,0.024228137,0.939619,0
0.03786762,0.8513483,0.6,1.1,0.8,1.6,0.035424102,0.8861169,0
0.037944824,0.08321176,0.6,1.1,0.8,1.6,0.02699223,0.099233516,0
0.037996653,0.34098998,0.6,1.1,0.8,1.6,0.072677106,0.42820314,0
0.038037542,0.56874025,0.6,1.1,0.8,1.6,0.049609,0.6610276,0
0.038257778,0.20683235,0.6,1.1,0.8,1.6,0.06430051,0.2542048,0
0.038321815,0.09220302,0.6,1.1,0.8,1.6,0.029711226,0.11004974,0
0.038338684,0.60107744,0.6,1.1,0.8,1.6,0.04927444,0.6889646,0
0.03867856,0.35019287,0.6,1.1,0.8,1.6,0.071650855,0.43931255,0
0.03868405,0.06578455,0.6,1.1,0.8,1.6,0.02173902,0.0781414,0
0.03874099,0.6766804,0.6,1.1,0.8,1.6,0.04793402,0.75116354,0
0.038747255,0.2319694,0.6,1.1,0.8,1.6,0.06929837,0.28751993,0
0.038969263,0.2762466,0.6,1.1,0.8,1.6,0.07430349,0.34632358,0
0.038970016,0.86067516,0.6,1.1,0.8,1.6,0.0341337,0.89327633,0
0.038998913,0.17144342,0.6,1.1,0.8,1.6,0.05485401,0.20813785,0
0.03902195,0.10120959,0.6,1.1,0.8,1.6,0.03245744,0.12085482,0
0.039609477,0.8706549,0.6,1.1,0.8,1.6,0.032724425,0.90091044,0
0.04,0.0,0.6,1.1,0.8,1.6,-5.694681e-39,3.4274227000000003e-38,0
0.04,1.0,0.6,1.1,0.8,1.6,-1.82122e-39,1.0,0
0.04004734,0.2591417,0.6,1.1,0.8,1.6,0.07287397,0.3237686,0
0.040075406,0.25019696,0.6,1.1,0.8,1.6,0.071869634,0.3118757,0
0.040346477,0.009534151,0.6,1.1,0.8,1.6,0.0040655197,0.011028918,0
0.0403602,0.65927595,0.6,1.1,0.8,1.6,0.04824204,0.73726517,0
0.040410403,0.05132483,0.6,1.1,0.8,1.6,0.017394794,0.060600534,0
0.040745955,0.9885274,0.6,1.1,0.8,1.6,0.004727185,0.9914636,0
0.040868197,0.01912366,0.6,1.1,0.8,1.6,0.007588495,0.02228337,0
0.040941264,0.9503839,0.6,1.1,0.8,1.6,0.01713864,0.96213067,0
0.04099784,0.11888335,0.6,1.1,0.8,1.6,0.03791754,0.14206338,0
0.041073944,0.51432973,0.6,1.1,0.8,1.6,0.05080688,0.61199677,0
0.04114354,0.7941726,0.6,1.1,0.8,1.6,0.041021165,0.8427537,0
0.041360054,0.93600464,0.6,1.1,0.8,1.6,0.020707762,0.9510466,0
0.04146411,0.028827261,0.6,1.1,0.8,1.6,0.010704594,0.033755884,0
0.04166739,0.30535606,0.6,1.1,0.8,1.6,0.074481525,0.38453537,0
0.04188484,0.4096757,0.6,1.1,0.8,1.6,0.06276051,0.50726527,0
